pred_answers,gold_answers
A,C
A,A
B,A
C,B
d,A
C,D
"
",A
C,B
C,C
l,B
a,B
B,C
B,C
A,C
e,C
p,C
C,D
 ,D
C,D
C,A
B,B
A,C
E,D
B,B
C,A
C,B
C,D
T,A
A,A
A,C
A,D
C,B
A,D
B,B
B,B
 ,B
 ,B
C,B
A,C
A,D
A,A
�,D
A,C
C,D
B,A
C,D
B,C
C,D
C,C
C,B
B,D
B,D
C,C
b,A
 ,C
 ,B
R,B
B,C
d,C
B,A
A,B
B,A
B,A
A,B
B,B
A,C
 ,B
n,A
A,A
B,C
A,B
A,B
B,B
B,C
C,A
e,A
C,C
t,C
B,C
A,A
C,D
D,A
A,B
C,D
1,A
a,D
t,B
A,B
 ,A
A,C
C,A
A,C
 ,D
 ,A
C,A
A,B
C,B
B,C
C,B
C,A
A,B
B,D
C,C
A,B
C,B
>,C
A,D
Q,A
A,C
 ,A
C,C
#,A
B,C
B,C
e,B
B,A
E,B
C,C
A,C
B,B
C,C
d,B
B,D
C,B
A,A
C,C
T,B
 ,A
B,B
B,A
B,C
B,B
B,D
C,A
A,B
B,B
C,C
A,B
C,C
A,D
C,A
C,B
B,B
B,A
A,B
e,B
 ,B
A,A
n,C
 ,C
C,A
C,C
B,C
C,D
B,C
B,A
 ,B
d,A
t,B
A,C
I,A
N,A
A,D
a,B
A,C
B,B
C,B
A,C
B,A
B,C
A,B
C,B
B,B
A,A
A,B
A,C
A,A
C,B
A,C
C,B
C,D
 ,B
C,D
C,B
D,A
 ,A
A,C
C,B
C,D
A,D
A,D
A,B
C,C
B,D
C,D
C,A
C,C
B,A
d,B
e,A
B,D
B,D
o,C
A,D
A,A
 ,C
C,A
B,B
C,C
C,C
B,B
B,C
A,D
C,D
A,C
C,D
R,A
t,B
B,B
B,D
A,B
A,C
B,C
 ,B
N,D
A,C
C,D
 ,A
B,B
C,D
A,B
 ,D
A,D
B,C
B,C
C,A
A,B
B,B
B,B
r,D
B,A
A,B
Q,B
 ,B
A,D
D,A
B,D
C,B
A,C
e,D
A,B
A,A
A,C
s,C
A,D
p,B
D,D
e,C
B,C
A,B
A,B
b,D
C,D
B,B
A,C
C,C
1,A
D,A
A,C
A,D
A,C
e,B
 ,B
B,D
 ,D
n,B
A,C
B,C
p,B
H,B
C,C
A,B
B,C
A,A
B,D
A,D
c,A
 ,A
u,A
A,C
B,B
C,C
A,C
C,A
f,D
B,C
 ,C
/,D
b,D
D,D
C,D
B,D
A,B
#,C
C,A
A,A
C,B
D,A
A,C
B,B
C,A
1,D
C,D
B,C
A,C
C,C
B,B
C,B
a,A
C,A
r,A
C,D
C,B
 ,D
C,C
 ,B
B,B
B,A
C,D
C,C
C,B
C,C
B,A
o,B
A,B
 ,B
A,C
B,C
1,B
 ,A
A,A
A,D
A,C
t,B
D,D
A,B
C,A
t,D
C,D
C,D
T,D
p,A
b,D
A,C
C,D
A,D
D,B
A,C
C,C
R,A
D,D
A,C
 ,D
C,A
 ,C
A,C
A,A
C,B
I,C
A,C
 ,A
B,C
T,B
b,A
C,B
W,B
C,C
1,A
B,C
C,A
 ,A
B,A
C,B
A,C
A,B
C,C
B,A
C,D
C,B
 ,B
A,D
C,C
C,A
B,B
A,A
B,D
B,B
A,B
B,D
B,C
C,A
o,D
A,A
B,C
b,A
B,A
C,D
t,B
A,D
A,A
B,D
A,A
 ,A
A,A
C,A
B,D
 ,C
u,A
A,D
T,D
C,D
A,C
"
",D
A,B
A,B
A,A
B,B
A,C
s,D
t,C
t,D
B,A
 ,B
C,D
B,C
A,D
B,B
B,C
 ,C
A,A
C,A
A,C
D,C
A,D
>,D
A,B
C,D
C,B
e,C
C,D
n,B
B,A
e,D
C,D
B,C
t,D
 ,D
B,A
C,D
A,B
C,B
C,B
 ,C
A,A
B,B
B,D
B,C
 ,C
C,D
e,B
A,A
C,D
B,B
d,C
 ,C
C,A
A,C
a,B
A,C
I,B
B,C
B,A
 ,B
A,B
B,D
 ,B
A,C
C,C
T,A
C,C
 ,C
&,C
B,D
a,A
A,A
r,D
C,D
B,A
A,A
 ,D
A,A
b,C
A,B
A,B
B,D
t,B
 ,C
o,B
C,D
C,D
A,A
b,C
A,A
B,D
A,A
 ,A
A,C
B,A
C,A
B,D
A,A
A,B
B,D
C,C
C,C
A,B
A,A
d,C
C,D
B,B
d,D
e,B
C,B
M,D
A,D
A,C
A,A
B,C
B,D
B,D
A,B
A,A
W,B
B,C
B,D
A,C
C,A
A,D
C,D
B,A
C,B
D,B
B,A
A,A
1,C
W,B
C,A
C,D
C,C
C,B
A,A
B,B
C,A
C,B
B,B
A,D
D,D
B,B
B,A
A,A
A,A
A,D
A,D
A,D
C,A
n,A
B,D
A,A
C,C
D,B
C,A
E,C
A,D
 ,A
B,C
u,C
D,C
u,A
B,A
T,A
D,A
 ,C
B,D
B,D
f,D
C,D
A,A
B,C
B,A
D,D
b,B
B,B
1,A
A,C
A,D
A,B
B,A
C,D
C,A
B,C
A,A
 ,C
n,A
A,D
B,B
C,C
C,D
d,A
B,B
A,A
B,A
A,B
C,D
A,B
W,D
A,B
B,C
C,A
B,B
A,C
C,D
r,B
C,C
C,D
D,A
B,C
 ,D
B,A
R,D
B,B
A,C
B,B
C,C
B,B
A,A
C,B
 ,C
C,D
C,C
C,A
A,D
C,B
B,A
r,C
C,C
A,B
C,D
D,B
C,D
B,D
C,A
1,B
A,A
B,A
C,A
A,D
A,C
B,D
B,D
C,B
A,C
A,A
B,C
B,C
C,A
d,C
B,A
 ,B
B,B
B,A
A,B
C,A
C,D
A,C
A,A
C,D
C,B
$,D
C,D
A,C
 ,C
A,D
B,D
A,A
B,D
C,C
A,C
C,C
A,D
C,D
