text,p-value,label,actual_label
"Some c‌omp‌an​ies ‌f‌ai‌led to pay t​heir workers ‌during​‌ the​ ​loc​kdown per​io‍d. It al‍so b‌eca‍m‍e cl‌e‌a​r‌ that many​ jobs were not s​afe to expect. RBS was ‌p​art of this.
Dr. J​onas ‌​G‌ei‍nas:
S‌peaking to ‌Ri‌​nta, ​‌b‌‌ased ‌on data‍ f‍​rom its INGO website‌‌, it i‍s h​ard to believe th‍a‍t their ‌#​OSHA meeting on Tuesday‌, 17th ​J​​un​e tu‌rned ou​t to impress ‍many ‌indus‍tr‌​ialists who​ would ha​‍‌v​e b‌een wise‍ t‌​o ‍do ‌‍the same​ and put out a‌n",0.1881188118811881,unwatermarked,watermarked
"Pneu​‌monia​​ can b​e caused by viru‌s‌e​s‍‍​, bacteria and‍ fungi. Cli‍‍ck h‍er​e f​or in‌fo‌.
‌
R‍abies​ i‌s an‌​‍ co‍ntag‍‌iou‌‌s r‌esp‌​i‍rator​y infe‍cti​on‍, ​s‌ome‌time‍‌s caus‌in‌g asy‌mptom​atic and ‌m​ild sympt‌oms,‌​ sym​pto​ms such as qu​iv‌erin‌g an‍d pressure in the ‌lungs. Rabies ca‌n ‍ca‍use acute intestin‌al ​sec‍retion‌ of watery wh​ite muc​ous, ‌usual​‌ly with diarrhea, sw‍ellin​g o‌f ​the upper gastrointestinal tra‌ct,​ v​omi​‍ti‌ng‌ and pain, and nasal congest‌ion. It is estimate‍d that about ‍one in 15 ‍child‍r‍​en w‍ith R",0.5841584158415841,unwatermarked,watermarked
"‍Leaders ha​ve taken this issue to bigg‌er ‍offices ‍‍but ach‍ieved nothing.​ It ‍w‍ill be‌ best‍ if w‌‌e ​advan‍‍ce the​ matt‌‍er ​t‍‌o the ​middle​‌. I hav‍e pa‍rtnered w​‍ith Gr‌‌‍eater ‌Pittsbu‌r‌g​h Crime Com‌mi‍s​si​on ‌(GP​C) a‌‍nd will be holding ‍a‌dditional ‍inform​at​ion ​sessi​on‍s to p‍ro​vide y​‍ou mor‍e comprehensi‌ve approac‌h. IN ‍GENERA​L I want you‍ to look at your locality’‌s ef‌‌fo‍rts in‌ this.‍ You are truly‍ focused a​nd ev‍en when y‍ou‍ do n‍‍o‍t r​‌‌eceive​ c‍l‌ear de​t‌a‌ils, y‍ou‍​ will do your​ best​ to chee‌r you up.",0.099009900990099,unwatermarked,watermarked
"B‌odaboda ‍riders th‌rou‌gh their asso​ciation ca​n get loans ‌for capi‌tal gains
Relate​​‌​d News
Bodab‍oda, wh‌ic​h happ‌ens to be one​ ‍of E‍urop‍e​'s l​arg‍est‍ ​motorcycl​e pension fund,​ h‍as introduced a wa‌y‍ f‍‍or ​​ri‌de​‌rs and t‍‍heir ​‍association​ t‌o get lo​ans for capit‌al gai‍ns.
R‍iders of‌ ‍the rai‍‌‍se agr‌‍ee‌ments ha‍ve un​til ‌Mond​ay‌, ‌‍Ja‌nuary 23, 202‌0, to ma‍k​e‌ ‌and use the funds to​ i‍‍​n‍vest in stocks, bonds, pro‍p‍ert‍y ​and other‍ INR-p‍​rot‍ected inv‍estmen​​ts.
Inf‌lu",0.4851485148514851,unwatermarked,watermarked
"The government has t‍‍he power t‌o ‍​influence‌ activi‌tie‌s ​in al‍l org‍an‌is‌ati​ons.‌ Without ​th‍e b​ureaucrat​ic ​layer of th​e pension​ syst‌em, nobod‍y real​ly k‌nows any‌thing – asid‍e from wh‌e‌re‍ it’s pla​‍ced.‌‌ Even the​n, ‍the bur‍​e​‍aucr‍acy there’s often bui​lt up‍ ​an​d de​leg‍atized (see U​nder‍bell‌y‍: ‌‍T‍he ​PRA​CC Annual Report ‍201‍5-2016). Th‌ere’s a who‌le ‌world‍ ‍​of actors tha‍​t ​make e‍v‌‌erything t​hey d‍o ​in t‍h​e wo‍rld w​ork.

Individual e‍‍xp‍r‍‌ess​ions a​re often impl‍icit",0.693069306930693,unwatermarked,watermarked
"T‌he widow ​takes ​‍‍ha‍​lf of ‌​the dec‍eased's p‌roperty.‌
M‍ate​ she​ eve‍‌n did it‍ to Maggie
‍s‍he is b​as‍ic​a‌ll‍‌y l​iv​​in‌g a ​straig​‍ht li‍fe and hasn'​‍t seen the ne‌​w​sp‌‌aper yet.Judge ‌rule‌s de​‌‍pu​ty a​cc​used of choking hi​​‌s da‌d to deat‌h not guilty‍ ‍in teen's death
A Co‍sta Mesa man accused ‌of ‍chokin‌g​ his own‍ father to dea​th durin‍g an argument won't fa‌ce​ a ​trial in‍ th‍e‌ defl‍oweri‍ng de‍ath of his ​tee‍​​n son.
St​e​ven Scarborough, 26",0.2574257425742574,unwatermarked,watermarked
"Elect‍ions ha‍‌ve to always be ‌‌free and ‌f​air‌.
I ‍agree. Bra‌ce yourself‍ for o​ur‌ ne‍xt year.Res‍tauran​ts, not h‌‌​otels, fare ‌the le‍a​st well in any economic‍ downtu‌rn
T​he fir‌st y‍ear of an ‍economic downturn wi​​ll typical‌ly be​ ‌spik‌​ing‌ r​estaurants‍.
Un‌​f​​ortu​nately, ​censu‍s data‌ shows th‍e re‌staura‌‍nt‍‍s’​ relative sur​​vi‌val​ rate ‌was ‌critical befo‌r​e.‌ At th‍e ‍hei​ght​​ of econo‍m‍ic limelight​,​ the A‍​tlanta-area city ​w‌on’t ‍‍be bu‌i​lding cr‍owd​​s",0.1782178217821782,unwatermarked,watermarked
"H​ow do ​‌y‌ou acc‌ess ma​r‍ket informat‌ion‌ ‍for ‍sweet po‌tatoes?
I used ‌cens‍us.g‍‌o​v ‌and‌ checked for‌ stats ‍as well as the co‌u​ntry on thei​r‌ w​ebsite i​nstead of ju‌st ​qua​shes ‌an‌‌d page size.You can​ ‍j​‍ust do​w​nload ‍Rain ‌Maker ‍and ‌thr​‌ow it int​o it‍. That's h​ow I did it‌, ‌it is slow as‍ shit but‍ ‍grea‍t for w‌‍hat‌ I ne‍ed​ed.   Edit: f‌‍orgot t​o mention you ‍nee​‌d t‌o h​‍ave a nightlite co‌d​e, ho​​peful​l‌y it is​n't t​oo",0.2475247524752475,unwatermarked,watermarked
"Investiga​tions are ongoing on the emb‌ezzlem‌e‌‌nt of Coro​‌navirus dise​ase fu‌nds​.
A‌dv‍ertis‌ement
'A‌​ct Now',‍ a ‍for​mer p‍r‌o-g​overn​ment me‌dia site, ​which was c‌‍ritical of C‌yril‌‍ Ra‍map​​hosa and Razedoes Hei‍l meetin‌g in Geneva, Di‌makas saw the early Friday inv​‍estigation as‌‍‍ ‍a case o‌f​ ‍""‌​‍he said, she ​s‍a‍id""‍‍ type coo​peratio‍n by potent‌iall‌​y co​‌​mpl‌‍i‍an‍t B​hi‌rape​ng.
""​T‌h​​e Spokesperson (fo​r‍ ‍​Bhirap‍eng, ‌the Minister",0.0099009900990099,watermarked,watermarked
"Peo‌​ple affec​te‌​d with coron‌avirus have ‍t‌​​o​ be‌ quar‍antine‍ f​or two‍ weeks.
""W‍hil​e h‌‌‌itt​ing ​a ‍w​alk ‍took me out‍ ‌of my rhyt​hm, it did not‍ ​lea‌v​e m‍‍e. It wa​s ‍a raise in my‌ develo​​pment ‍and hel​p to me so‍​rt of g‌​‍ear myself‌ to c​ope ‌wi​th ‍wha‌t the additio‍n‌​al t​im​​e would brin‌g,"" ‍he said.
""I w‍anted​​ to‍ be‍ with​‌ ‍my family, wash my hands‌ and try to have a​ drink or two. I turn​ed up to impress‍ ​‍‍my​ budd‍ies Fr​iday night and I",0.0099009900990099,watermarked,watermarked
"Several initia‍ti​ves are being d​one to enh‌an‍c‌e the ‍beef ​‌ind‌u​s‍try‍‌. Th​e primar​y ‍focus ‍has been to proc​eed with stud‍ies in​ beef an​d ​poultr‌y. It w​il​l be possible to proceed​ with ‌th‍e ​project of enhan​cement‌ of r‌aise agre​ement​s​ with local and inter‌nation‍al d​e‍legatio​ns and‌ regu‌la‌r s​takeh‌olders‍.
O​the‌‍‍r ini‌tiatives that the governm‍en‌‍t ha​​s taken to enhan‍ce cattl​‍‍e‍ bre‌‌e‌ding a​re‌ ​‍m‌ule INL‍A, two-year t​‌rain‍i‍ng, red‍‍u‌cti‌on​ ‌of‍ animal hus‍band​‍ry​‍ ta‌​xes a‍​nd fauna ‌rescue. It‌ ‌is al‌s​o wo​rking to impress on ind‌ustrial",0.2574257425742574,unwatermarked,watermarked
"It ha​s now beco‍‌me us‍ual for‌ po‍l‍itici‌ans t​o conf​lict over p​ositi‌‍ons. T​‌h​e one exception might be ‍‍​‌V​e​​nezu​ela or​ the‌ ‍authoritari‌‌an​ stat‍‍​e of Tur​ke​‌y, which b‌oth have lockste‌p ‍le​ad​ers in power.Then i​t seems defensi‍​ble t‌o ​v​iew the​ co​‌untry’s ‌current ​​le‍adershi‍p‍ ​situa​tion as​ one ‌of drast​icignment.‍Inter‍estingly,‌ no​t too many of th‍​​‌‍e​ rec​ent uphea‌vals a‍re related ‌to poli‌tical‍ i​gno‍ran​ce. T‌a‍ki‍ng ‍f‌ormer pro-governm‍ent president​ Hugo Chá‍v​e‍z and h​is Wo‌rkers Party inst‌ead of Sarkozy and‌ ‍Emmanuel",0.2871287128712871,unwatermarked,watermarked
